message,emotion
aaj ka din achha nahi tha,Sad
exam kharab gaya,Sad
sab kuch perfect chal raha hai,Happy
same as usual,Neutral
trip confirmed,Excitement
yaar dil bhaari hai,Sad
theek hi hai,Neutral
aaj thoda sad feel kar raha hoon,Sad
future dark lag raha hai,Depressed
feeling blessed today,Happy
jeene ka mann nahi karta,Depressed
life set lag rahi hai,Happy
theek hi hai,Neutral
kuch sahi nahi lag raha,Sad
life bekaar chal rahi hai,Depressed
sab kuch perfect chal raha hai,Happy
sab kuch perfect chal raha hai,Happy
future dark lag raha hai,Depressed
life set lag rahi hai,Happy
aaj bahut khush hoon,Happy
aaj thoda sad feel kar raha hoon,Sad
life bekaar chal rahi hai,Depressed
vacation booked,Excitement
match jeet gaye,Excitement
sab kuch perfect chal raha hai,Happy
kuch khaas nahi,Neutral
sab khatam lag raha hai,Depressed
bahut hurt hoon,Sad
Star night is cancelled,Sad
ML paper was hard,Sad
Induction chori hogya,Sad
Kerela ja rhi hoon ghumne,Happy
My team got qualified,Happy
Arijit Singh retired,Sad
Received my order today,Happy
Photos bhejo,Neutral
Houseparty on 14th,Excitement
Send project updates,Neutral
Received my stipend,Excitement
exams khatam,Happy
mess ka khana acha nhi hai,Sad
yaar acha section nhi mila,Sad
chips hai kya,Neutral
aaj toh thoda sad lag rha hai,Sad
okay,Neutral
acha,Neutral
understandable,Neutral
aaj party mei ja rha hoon,Happy
lonely feel hota hai,Depressed
koi samjhta hee nhi hai,Depressed
weekends aagyaaa,Excitement
career ko leke tensed hoon,Sad
normal as usual,Neutral
nothing exciting,Neutral
bohot bura lag rha hai,Sad
feeling exhausted,sad
oh acha,Neutral
momo khane chalein?,neutral
plan cancelled,sad
class nhi gyi,neutral
aaj biriyani khaayi,Happy
sar mei dard hai,sad
aaj tabiyat kharab hai,sad
kal ka classes cancelled,Excitement
happy birthday!,happy
can't wait for vacations,Excitement
lets plan a girl's trip,happy
send aaj ka notes please,neutral
aaj toh zero pe out hogya,sad
aaj din acha nhi gya,sad
aaj bahut accha feel ho raha hai,Happy
kal ka din thoda heavy tha,Sad
andar se bilkul empty lag raha hai,Depressed
bas routine chal raha hai,Neutral
party ke liye super Excitement hoon,Excitement
mujhe bahut gussa aa raha hai,Sad
result ko leke tension ho rahi hai,Sad
tumhari yaad aa rahi hai,Happy
andhera dekh ke darr lag raha hai,Sad
samajh nahi aa raha kya karun,Neutral
finally apna goal achieve kar liya,Happy
mood pura off hai,Sad
life ka direction hi nahi samajh aa raha,Depressed
haan theek hai dekhte hain,Neutral
match jeet gaye bhaiii,Excitement
itni mehnat ke baad bhi kuch nahi mila,Sad
raat bhar neend nahi aayi,Depressed
kuch khaas nahi chal raha,Neutral
concert ke liye tickets mil gaye,Excitement
logon pe trust hi nahi ho raha,Sad
presentation ko leke anxiety ho rahi hai,Sad
tumse baat karke acha lagta hai,Happy
future ka soch ke darr lagta hai,Sad
mind pura confused hai,Neutral
aaj sab perfect lag raha hai,Happy
andar se toot chuka hoon,Depressed
bas chal raha hai sab,Neutral
vacation booked finally,Excitement
itna frustration ho raha hai,Sad
career ko leke doubt hai,Sad
tum mere liye special ho,Happy
akela feel kar raha hoon,Depressed
kya sahi hai kya galat samajh nahi aa raha,Neutral
aaj khud pe proud feel ho raha hai,Happy
disappointed hoon thoda,Sad
motivation bilkul zero hai,Depressed
same routine repeat ho raha hai,Neutral
weekend ke liye Excitement hoon,Excitement
itni careless kaise ho sakte ho,Sad
kal interview hai tension ho rahi hai,Sad
tumhari smile best hai,Happy
dark thoughts aa rahe hain,Depressed
brain freeze ho gaya hai,Neutral
salary aa gayi finally,Happy
sab ulta ho raha hai,Sad
kisi cheez mein interest nahi raha,Depressed
normal hi chal raha hai,Neutral
trip confirm ho gaya,Excitement
chill karne ka mood nahi hai,Sad
pet mein butterflies ho rahe hain,Sad
bahut pyaar hai tumse,Happy
raat ko ajeeb sa darr lagta hai,Sad
samajh nahi aa raha decision kya loon,Neutral
aaj life sorted lag rahi hai,Happy
bohot lonely feel kar raha hoon,Depressed
har din struggle lagta hai,Depressed
okay,Neutral
crush ne reply kar diya,Excitement
control hi nahi ho raha gusse pe,Sad
exam ko leke panic ho raha hai,Sad
tumhari baat alag hai,Happy
future uncertain lag raha hai,Sad
mind clear nahi hai,Neutral
achievement unlock ho gaya,Happy
kuch log badal gaye,Sad
jeene ka mann nahi karta,Depressed
thik tha aaj ka din,Neutral
celebration time,Excitement
irritate ho gaya hoon,Sad
heartbeat fast ho rahi hai,Sad
tumhare bina adhura lagta hai,Happy
andar se dar lag raha hai,Sad
confusion hi confusion hai,Neutral
